periodyear,stfips,areatype,region,area,prior_yr_area,population
2018,02,04,5,000198,000068,0
2018,02,04,5,000198,000070,0
2018,02,04,5,000198,000090,6
2018,02,04,5,000198,000100,6
2018,02,04,5,000198,000105,4
2018,02,04,5,000198,000110,21
2018,02,04,5,000198,000122,5
2018,02,04,5,000198,000130,70
2018,02,04,5,000198,000150,0
2018,02,04,5,000198,000158,0
2018,02,04,5,000198,000164,1
2018,02,04,5,000198,000170,6
2018,02,04,5,000198,000180,1
2018,02,04,5,000198,000185,1
2018,02,04,5,000198,000188,0
2018,02,04,5,000198,000195,1
2018,02,04,5,000198,000198,5203
2018,02,04,5,000198,000220,6
2018,02,04,5,000198,000230,0
2018,02,04,5,000198,000240,4
2018,02,04,5,000198,000261,0
2018,02,04,5,000198,000275,1
2018,02,04,5,000198,000282,0
2018,02,04,5,000198,000290,0
2018,02,04,5,000198,999999,492
2018,02,04,5,000220,000013,0
2018,02,04,5,000220,000016,2
2018,02,04,5,000220,000020,42
2018,02,04,5,000220,000050,2
2018,02,04,5,000220,000060,1
2018,02,04,5,000220,000068,0
2018,02,04,5,000220,000070,2
2018,02,04,5,000220,000090,9
2018,02,04,5,000220,000100,4
2018,02,04,5,000220,000105,9
2018,02,04,5,000220,000110,59
2018,02,04,5,000220,000122,6
2018,02,04,5,000220,000130,14
2018,02,04,5,000220,000150,2
2018,02,04,5,000220,000158,0
2018,02,04,5,000220,000164,0
2018,02,04,5,000220,000170,7
2018,02,04,5,000220,000180,2
2018,02,04,5,000220,000185,5
2018,02,04,5,000220,000188,0
2018,02,04,5,000220,000195,3
2018,02,04,5,000220,000198,6
2018,02,04,5,000220,000220,6665
2018,02,04,5,000220,000230,0
2018,02,04,5,000220,000240,0
2018,02,04,5,000220,000261,0
2018,02,04,5,000220,000275,9
2018,02,04,5,000220,000282,3
2018,02,04,5,000220,000290,0
2018,02,04,5,000220,999999,641
2018,02,04,5,000230,000013,0
2018,02,04,5,000230,000016,0
2018,02,04,5,000230,000020,6
2018,02,04,5,000230,000050,1
2018,02,04,5,000230,000060,0
2018,02,04,5,000230,000068,0
2018,02,04,5,000230,000070,0
2018,02,04,5,000230,000090,1
2018,02,04,5,000230,000100,6
2018,02,04,5,000230,000105,1
2018,02,04,5,000230,000110,4
2018,02,04,5,000230,000122,0
2018,02,04,5,000230,000130,1
2018,02,04,5,000230,000150,0
2018,02,04,5,000230,000158,0
2018,02,04,5,000230,000164,0
2018,02,04,5,000230,000170,1
2018,02,04,5,000230,000180,0
2018,02,04,5,000230,000185,0
2018,02,04,5,000230,000188,0
2018,02,04,5,000230,000195,0
2018,02,04,5,000230,000198,0
2018,02,04,5,000230,000220,0
2018,02,04,5,000230,000230,811
2018,02,04,5,000230,000240,0
2018,02,04,5,000230,000261,0
2018,02,04,5,000230,000275,0
2018,02,04,5,000230,000282,0
2018,02,04,5,000230,000290,0
2018,02,04,5,000230,999999,90
2018,02,04,3,000240,000013,1
2018,02,04,3,000240,000016,2
2018,02,04,3,000240,000020,49
2018,02,04,3,000240,000050,2
2018,02,04,3,000240,000060,0
2018,02,04,3,000240,000068,0
2018,02,04,3,000240,000070,0
