Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
2010 to 2015,170,Total,9242,4953,4289,7997,4245,3752,
2010 to 2015,170,0-4,988,510,478,677,342,335,
2010 to 2015,170,5-9,784,406,378,592,299,293,
2010 to 2015,170,10-14,634,334,300,481,241,240,
2010 to 2015,170,15-19,568,300,268,623,310,313,
2010 to 2015,170,20-24,959,499,460,1084,581,503,
2010 to 2015,170,25-29,1102,582,520,863,471,392,
2010 to 2015,170,30-34,902,502,400,703,389,314,
2010 to 2015,170,35-39,656,370,286,515,289,226,
2010 to 2015,170,40-44,574,318,256,480,264,216,
2010 to 2015,170,45-49,479,266,213,443,244,199,
2010 to 2015,170,50-54,478,271,207,448,245,203,
2010 to 2015,170,55-59,373,199,174,368,195,173,
2010 to 2015,170,60-64,300,170,130,295,157,138,
2010 to 2015,170,65-69,188,99,89,181,99,82,
2010 to 2015,170,70-74,107,58,49,105,54,51,
2010 to 2015,170,75-79,62,32,30,51,26,25,
2010 to 2015,170,80-84,44,23,21,50,21,29,
2010 to 2015,170,85-89,28,9,19,19,12,7,
2010 to 2015,170,90+,16,5,11,19,6,13,
2010 to 2015,180,Total,722,410,312,784,423,361,
2010 to 2015,180,0-4,74,44,30,77,37,40,
2010 to 2015,180,5-9,52,23,29,56,29,27,
2010 to 2015,180,10-14,44,24,20,47,23,24,
2010 to 2015,180,15-19,49,25,24,62,30,32,
2010 to 2015,180,20-24,84,43,41,101,54,47,
2010 to 2015,180,25-29,100,58,42,91,50,41,
2010 to 2015,180,30-34,72,45,27,72,44,28,
2010 to 2015,180,35-39,50,31,19,50,29,21,
2010 to 2015,180,40-44,43,30,13,38,23,15,
2010 to 2015,180,45-49,37,21,16,41,24,17,
2010 to 2015,180,50-54,39,22,17,41,22,19,
2010 to 2015,180,55-59,35,20,15,40,22,18,
2010 to 2015,180,60-64,21,11,10,35,18,17,
2010 to 2015,180,65-69,11,7,4,15,9,6,
2010 to 2015,180,70-74,6,3,3,9,5,4,
2010 to 2015,180,75-79,3,2,1,4,1,3,
2010 to 2015,180,80-84,2,1,1,2,1,1,
2010 to 2015,180,85-89,0,0,0,2,2,0,
2010 to 2015,180,90+,0,0,0,1,0,1,
2010 to 2015,185,Total,648,361,287,697,386,311,
2010 to 2015,185,0-4,84,42,42,85,43,42,
2010 to 2015,185,5-9,51,25,26,56,25,31,
2010 to 2015,185,10-14,36,18,18,40,19,21,
2010 to 2015,185,15-19,40,20,20,50,25,25,
2010 to 2015,185,20-24,80,43,37,87,46,41,
2010 to 2015,185,25-29,83,48,35,75,46,29,
2010 to 2015,185,30-34,54,34,20,51,29,22,
2010 to 2015,185,35-39,38,25,13,36,23,13,
2010 to 2015,185,40-44,32,19,13,31,20,11,
2010 to 2015,185,45-49,38,26,12,45,28,17,
2010 to 2015,185,50-54,38,21,17,37,22,15,
2010 to 2015,185,55-59,34,18,16,37,22,15,
2010 to 2015,185,60-64,19,11,8,32,19,13,
2010 to 2015,185,65-69,8,5,3,18,10,8,
2010 to 2015,185,70-74,7,4,3,7,4,3,
2010 to 2015,185,75-79,4,2,2,6,3,3,
2010 to 2015,185,80-84,1,0,1,3,1,2,
2010 to 2015,185,85-89,1,0,1,1,1,0,
2010 to 2015,185,90+,0,0,0,0,0,0,
2010 to 2015,188,Total,583,327,256,654,356,298,
2010 to 2015,188,0-4,81,44,37,80,41,39,
2010 to 2015,188,5-9,41,20,21,50,25,25,
2010 to 2015,188,10-14,31,15,16,40,21,19,
2010 to 2015,188,15-19,38,20,18,53,26,27,
2010 to 2015,188,20-24,74,41,33,91,47,44,
2010 to 2015,188,25-29,80,45,35,76,42,34,
2010 to 2015,188,30-34,50,30,20,53,31,22,
2010 to 2015,188,35-39,34,22,12,37,24,13,
2010 to 2015,188,40-44,29,17,12,34,22,12,
2010 to 2015,188,45-49,33,20,13,32,18,14,
2010 to 2015,188,50-54,33,21,12,34,23,11,
2010 to 2015,188,55-59,24,14,10,27,13,14,
2010 to 2015,188,60-64,17,10,7,20,11,9,
2010 to 2015,188,65-69,6,3,3,11,6,5,
2010 to 2015,188,70-74,6,3,3,6,3,3,
2010 to 2015,188,75-79,4,2,2,5,2,3,
2010 to 2015,188,80-84,1,0,1,4,1,3,
2010 to 2015,188,85-89,1,0,1,0,0,0,
2010 to 2015,188,90+,0,0,0,1,0,1,
2010 to 2015,195,Total,239,134,105,271,145,126,
2010 to 2015,195,0-4,20,10,10,20,9,11,
2010 to 2015,195,5-9,19,10,9,17,8,9,
2010 to 2015,195,10-14,13,8,5,14,8,6,
2010 to 2015,195,15-19,10,6,4,17,8,9,
2010 to 2015,195,20-24,23,12,11,39,21,18,
2010 to 2015,195,25-29,26,15,11,30,17,13,
2010 to 2015,195,30-34,25,13,12,20,11,9,
2010 to 2015,195,35-39,20,12,8,17,11,6,
2010 to 2015,195,40-44,16,9,7,15,8,7,
2010 to 2015,195,45-49,14,8,6,15,8,7,
2010 to 2015,195,50-54,13,8,5,14,7,7,
2010 to 2015,195,55-59,10,6,4,17,8,9,
2010 to 2015,195,60-64,10,7,3,13,9,4,
2010 to 2015,195,65-69,9,5,4,10,4,6,
2010 to 2015,195,70-74,4,2,2,6,4,2,
2010 to 2015,195,75-79,2,1,1,2,1,1,
2010 to 2015,195,80-84,1,0,1,2,1,1,
2010 to 2015,195,85-89,2,1,1,1,1,0,
2010 to 2015,195,90+,2,1,1,2,1,1,
2010 to 2015,198,Total,610,337,273,588,329,259,
2010 to 2015,198,0-4,63,27,36,52,28,24,
2010 to 2015,198,5-9,47,27,20,39,22,17,
2010 to 2015,198,10-14,40,21,19,33,19,14,
2010 to 2015,198,15-19,35,20,15,49,24,25,
2010 to 2015,198,20-24,58,31,27,67,39,28,
2010 to 2015,198,25-29,57,31,26,53,27,26,
2010 to 2015,198,30-34,56,32,24,45,26,19,
2010 to 2015,198,35-39,39,23,16,35,21,14,
2010 to 2015,198,40-44,37,20,17,32,18,14,
2010 to 2015,198,45-49,41,26,15,36,21,15,
2010 to 2015,198,50-54,44,27,17,36,20,16,
2010 to 2015,198,55-59,34,19,15,36,20,16,
2010 to 2015,198,60-64,25,14,11,30,17,13,
2010 to 2015,198,65-69,18,11,7,18,12,6,
2010 to 2015,198,70-74,9,5,4,12,7,5,
2010 to 2015,198,75-79,4,2,2,8,5,3,
2010 to 2015,198,80-84,2,1,1,4,2,2,
2010 to 2015,198,85-89,1,0,1,2,1,1,
2010 to 2015,198,90+,0,0,0,1,0,1,
2010 to 2015,220,Total,774,395,379,824,427,397,
2010 to 2015,220,0-4,67,34,33,70,39,31,
2010 to 2015,220,5-9,51,24,27,51,25,26,
2010 to 2015,220,10-14,40,19,21,42,21,21,
2010 to 2015,220,15-19,46,21,25,52,23,29,
2010 to 2015,220,20-24,80,35,45,96,49,47,
2010 to 2015,220,25-29,103,50,53,89,41,48,
2010 to 2015,220,30-34,91,50,41,88,49,39,
2010 to 2015,220,35-39,61,34,27,60,32,28,
2010 to 2015,220,40-44,46,25,21,47,25,22,
2010 to 2015,220,45-49,42,26,16,47,27,20,
2010 to 2015,220,50-54,42,24,18,45,26,19,
2010 to 2015,220,55-59,37,20,17,42,22,20,
2010 to 2015,220,60-64,27,15,12,42,21,21,
2010 to 2015,220,65-69,11,6,5,23,12,11,
2010 to 2015,220,70-74,10,5,5,12,7,5,
2010 to 2015,220,75-79,5,2,3,7,4,3,
2010 to 2015,220,80-84,6,3,3,2,0,2,
2010 to 2015,220,85-89,5,1,4,6,3,3,
2010 to 2015,220,90+,4,1,3,3,1,2,
2010 to 2015,230,Total,94,51,43,90,48,42,
2010 to 2015,230,0-4,5,3,2,5,4,1,
2010 to 2015,230,5-9,4,2,2,5,2,3,
2010 to 2015,230,10-14,2,1,1,4,2,2,
2010 to 2015,230,15-19,2,1,1,4,2,2,
2010 to 2015,230,20-24,8,4,4,7,3,4,
2010 to 2015,230,25-29,13,6,7,9,4,5,
2010 to 2015,230,30-34,17,9,8,14,7,7,
2010 to 2015,230,35-39,12,6,6,10,4,6,
2010 to 2015,230,40-44,8,5,3,7,5,2,
2010 to 2015,230,45-49,5,3,2,4,2,2,
2010 to 2015,230,50-54,5,3,2,4,3,1,
2010 to 2015,230,55-59,5,3,2,5,3,2,
2010 to 2015,230,60-64,5,3,2,7,4,3,
2010 to 2015,230,65-69,2,1,1,3,2,1,
2010 to 2015,230,70-74,1,1,0,2,1,1,
2010 to 2015,230,75-79,0,0,0,0,0,0,
2010 to 2015,230,80-84,0,0,0,0,0,0,
2010 to 2015,230,85-89,0,0,0,0,0,0,
2010 to 2015,230,90+,0,0,0,0,0,0,
2010 to 2015,240,Total,704,383,321,806,431,375,
2010 to 2015,240,0-4,68,36,32,79,38,41,
2010 to 2015,240,5-9,61,31,30,63,32,31,
2010 to 2015,240,10-14,50,26,24,50,25,25,
2010 to 2015,240,15-19,43,20,23,69,35,34,
2010 to 2015,240,20-24,76,40,36,97,49,48,
2010 to 2015,240,25-29,79,45,34,84,48,36,
2010 to 2015,240,30-34,61,35,26,64,37,27,
2010 to 2015,240,35-39,52,26,26,49,26,23,
2010 to 2015,240,40-44,40,23,17,44,24,20,
2010 to 2015,240,45-49,43,26,17,38,22,16,
2010 to 2015,240,50-54,40,26,14,50,28,22,
2010 to 2015,240,55-59,32,17,15,35,19,16,
2010 to 2015,240,60-64,25,16,9,31,19,12,
2010 to 2015,240,65-69,13,7,6,20,11,9,
2010 to 2015,240,70-74,11,6,5,16,9,7,
2010 to 2015,240,75-79,5,2,3,8,3,5,
2010 to 2015,240,80-84,2,0,2,5,3,2,
2010 to 2015,240,85-89,2,1,1,3,2,1,
2010 to 2015,240,90+,1,0,1,1,1,0,
2010 to 2015,275,Total,199,100,99,186,100,86,
2010 to 2015,275,0-4,18,7,11,14,7,7,
2010 to 2015,275,5-9,10,5,5,10,5,5,
2010 to 2015,275,10-14,10,5,5,9,5,4,
2010 to 2015,275,15-19,9,4,5,14,7,7,
2010 to 2015,275,20-24,24,10,14,28,15,13,
2010 to 2015,275,25-29,24,12,12,19,12,7,
2010 to 2015,275,30-34,15,9,6,15,9,6,
2010 to 2015,275,35-39,10,6,4,9,4,5,
2010 to 2015,275,40-44,10,5,5,8,5,3,
2010 to 2015,275,45-49,13,7,6,9,5,4,
2010 to 2015,275,50-54,13,7,6,12,7,5,
2010 to 2015,275,55-59,14,7,7,11,6,5,
2010 to 2015,275,60-64,10,6,4,9,4,5,
2010 to 2015,275,65-69,7,3,4,5,2,3,
2010 to 2015,275,70-74,4,2,2,4,2,2,
2010 to 2015,275,75-79,3,2,1,4,2,2,
2010 to 2015,275,80-84,2,1,1,2,1,1,
2010 to 2015,275,85-89,2,1,1,3,2,1,
2010 to 2015,275,90+,1,1,0,1,0,1,
2010 to 2015,282,Total,54,34,20,70,38,32,
2010 to 2015,282,0-4,5,3,2,7,3,4,
2010 to 2015,282,5-9,3,2,1,5,3,2,
2010 to 2015,282,10-14,2,1,1,3,1,2,
2010 to 2015,282,15-19,4,2,2,6,3,3,
2010 to 2015,282,20-24,5,3,2,9,4,5,
2010 to 2015,282,25-29,6,3,3,6,3,3,
2010 to 2015,282,30-34,4,3,1,5,4,1,
2010 to 2015,282,35-39,4,3,1,5,3,2,
2010 to 2015,282,40-44,4,2,2,6,3,3,
2010 to 2015,282,45-49,6,4,2,4,3,1,
2010 to 2015,282,50-54,3,2,1,4,2,2,
2010 to 2015,282,55-59,3,2,1,4,3,1,
2010 to 2015,282,60-64,3,2,1,3,2,1,
2010 to 2015,282,65-69,1,1,0,1,0,1,
2010 to 2015,282,70-74,1,1,0,1,1,0,
2010 to 2015,282,75-79,0,0,0,0,0,0,
2010 to 2015,282,80-84,0,0,0,1,0,1,
2010 to 2015,282,85-89,0,0,0,0,0,0,
2010 to 2015,282,90+,0,0,0,0,0,0,
2010 to 2015,290,Total,588,330,258,639,354,285,
2010 to 2015,290,0-4,67,32,35,48,23,25,
2010 to 2015,290,5-9,41,23,18,45,25,20,
2010 to 2015,290,10-14,32,18,14,39,20,19,
2010 to 2015,290,15-19,37,19,18,49,24,25,
2010 to 2015,290,20-24,64,33,31,78,43,35,
2010 to 2015,290,25-29,65,36,29,67,36,31,
2010 to 2015,290,30-34,56,35,21,51,31,20,
2010 to 2015,290,35-39,40,23,17,41,25,16,
2010 to 2015,290,40-44,30,18,12,34,20,14,
2010 to 2015,290,45-49,36,21,15,32,20,12,
2010 to 2015,290,50-54,36,21,15,43,26,17,
2010 to 2015,290,55-59,31,19,12,34,19,15,
2010 to 2015,290,60-64,22,14,8,35,18,17,
2010 to 2015,290,65-69,15,9,6,17,10,7,
2010 to 2015,290,70-74,6,4,2,13,8,5,
2010 to 2015,290,75-79,5,3,2,4,3,1,
2010 to 2015,290,80-84,3,1,2,5,2,3,
2010 to 2015,290,85-89,2,1,1,3,1,2,
2010 to 2015,290,90+,0,0,0,1,0,1,
2005 to 2010,000,Total,41483,22968,18515,39806,21910,17896,
2005 to 2010,000,0-4,3760,1897,1863,3367,1719,1648,
2005 to 2010,000,5-9,2977,1538,1439,2733,1410,1323,
2005 to 2010,000,10-14,2511,1305,1206,2339,1181,1158,
2005 to 2010,000,15-19,2656,1383,1273,2984,1539,1445,
2005 to 2010,000,20-24,5702,3226,2476,5231,2941,2290,
2005 to 2010,000,25-29,5520,3125,2395,4523,2635,1888,
2005 to 2010,000,30-34,3990,2292,1698,3494,1986,1508,
2005 to 2010,000,35-39,3293,1897,1396,3013,1735,1278,
2005 to 2010,000,40-44,2856,1694,1162,2676,1552,1124,
2005 to 2010,000,45-49,2552,1520,1032,2433,1410,1023,
2005 to 2010,000,50-54,1972,1131,841,2158,1204,954,
2005 to 2010,000,55-59,1444,823,621,1810,984,826,
2005 to 2010,000,60-64,897,495,402,1289,706,583,
2005 to 2010,000,65-69,508,272,236,753,411,342,
2005 to 2010,000,70-74,310,158,152,405,223,182,
2005 to 2010,000,75-79,218,99,119,257,129,128,
2005 to 2010,000,80-84,165,63,102,180,88,92,
2005 to 2010,000,85-89,105,35,70,99,34,65,
2005 to 2010,000,90+,47,15,32,62,23,39,
2005 to 2010,013,Total,149,87,62,67,38,29,
2005 to 2010,013,0-4,8,4,4,5,2,3,
2005 to 2010,013,5-9,8,4,4,3,1,2,
2005 to 2010,013,10-14,7,4,3,4,2,2,
2005 to 2010,013,15-19,8,4,4,6,3,3,
2005 to 2010,013,20-24,11,5,6,6,4,2,
2005 to 2010,013,25-29,16,9,7,6,4,2,
2005 to 2010,013,30-34,12,8,4,5,2,3,
2005 to 2010,013,35-39,12,8,4,4,3,1,
2005 to 2010,013,40-44,15,10,5,7,4,3,
2005 to 2010,013,45-49,18,11,7,7,4,3,
2005 to 2010,013,50-54,11,7,4,5,3,2,
2005 to 2010,013,55-59,11,6,5,5,3,2,
2005 to 2010,013,60-64,7,4,3,3,2,1,
2005 to 2010,013,65-69,2,1,1,1,1,0,
2005 to 2010,013,70-74,2,1,1,0,0,0,
2005 to 2010,013,75-79,1,1,0,0,0,0,
2005 to 2010,013,80-84,0,0,0,0,0,0,
2005 to 2010,013,85-89,0,0,0,0,0,0,
2005 to 2010,013,90+,0,0,0,0,0,0,
2005 to 2010,016,Total,429,263,166,417,247,170,
2005 to 2010,016,0-4,23,12,11,32,18,14,
2005 to 2010,016,5-9,22,13,9,23,13,10,
2005 to 2010,016,10-14,19,10,9,22,11,11,
2005 to 2010,016,15-19,15,8,7,23,12,11,
2005 to 2010,016,20-24,39,24,15,30,17,13,
2005 to 2010,016,25-29,47,26,21,35,20,15,
2005 to 2010,016,30-34,38,24,14,27,15,12,
2005 to 2010,016,35-39,45,30,15,45,28,17,
2005 to 2010,016,40-44,52,36,16,44,31,13,
2005 to 2010,016,45-49,42,29,13,36,21,15,
2005 to 2010,016,50-54,34,20,14,39,24,15,
2005 to 2010,016,55-59,30,17,13,28,17,11,
2005 to 2010,016,60-64,14,8,6,16,9,7,
2005 to 2010,016,65-69,6,4,2,12,8,4,
2005 to 2010,016,70-74,2,1,1,3,2,1,
2005 to 2010,016,75-79,1,1,0,1,0,1,
2005 to 2010,016,80-84,0,0,0,1,1,0,
2005 to 2010,016,85-89,0,0,0,0,0,0,
2005 to 2010,016,90+,0,0,0,0,0,0,
2005 to 2010,020,Total,24960,13324,11636,22859,12184,10675,
2005 to 2010,020,0-4,2530,1305,1225,2126,1105,1021,
2005 to 2010,020,5-9,1930,990,940,1700,871,829,
2005 to 2010,020,10-14,1559,794,765,1410,712,698,
2005 to 2010,020,15-19,1606,813,793,1580,805,775,
2005 to 2010,020,20-24,3288,1721,1567,2882,1507,1375,
2005 to 2010,020,25-29,3409,1855,1554,2701,1477,1224,
2005 to 2010,020,30-34,2395,1328,1067,2089,1138,951,
2005 to 2010,020,35-39,1933,1083,850,1780,1006,774,
2005 to 2010,020,40-44,1622,910,712,1537,871,666,
2005 to 2010,020,45-49,1461,833,628,1365,761,604,
2005 to 2010,020,50-54,1141,627,514,1197,643,554,
2005 to 2010,020,55-59,823,458,365,948,499,449,
2005 to 2010,020,60-64,488,261,227,669,359,310,
2005 to 2010,020,65-69,288,147,141,380,202,178,
2005 to 2010,020,70-74,178,83,95,202,102,100,
2005 to 2010,020,75-79,122,52,70,129,62,67,
2005 to 2010,020,80-84,94,36,58,88,39,49,
2005 to 2010,020,85-89,62,17,45,48,16,32,
2005 to 2010,020,90+,31,11,20,28,9,19,
2005 to 2010,050,Total,1038,581,457,1334,737,597,
2005 to 2010,050,0-4,133,67,66,148,81,67,
2005 to 2010,050,5-9,75,38,37,108,57,51,
2005 to 2010,050,10-14,61,35,26,84,41,43,
2005 to 2010,050,15-19,79,39,40,119,64,55,
2005 to 2010,050,20-24,137,74,63,171,92,79,
2005 to 2010,050,25-29,130,74,56,139,77,62,
2005 to 2010,050,30-34,80,47,33,105,58,47,
2005 to 2010,050,35-39,67,39,28,87,51,36,
2005 to 2010,050,40-44,66,43,23,90,51,39,
2005 to 2010,050,45-49,63,40,23,76,51,25,
2005 to 2010,050,50-54,55,33,22,63,36,27,
2005 to 2010,050,55-59,36,20,16,58,32,26,
2005 to 2010,050,60-64,26,16,10,36,20,16,
2005 to 2010,050,65-69,11,6,5,25,13,12,
2005 to 2010,050,70-74,7,5,2,9,4,5,
2005 to 2010,050,75-79,6,2,4,5,4,1,
2005 to 2010,050,80-84,2,1,1,4,2,2,
2005 to 2010,050,85-89,2,1,1,3,1,2,
2005 to 2010,050,90+,2,1,1,4,2,2,
2005 to 2010,060,Total,119,68,51,163,95,68,
2005 to 2010,060,0-4,9,6,3,14,8,6,
2005 to 2010,060,5-9,8,4,4,11,7,4,
2005 to 2010,060,10-14,9,4,5,10,4,6,
2005 to 2010,060,15-19,7,4,3,13,7,6,
2005 to 2010,060,20-24,12,7,5,17,10,7,
2005 to 2010,060,25-29,11,6,5,13,7,6,
2005 to 2010,060,30-34,12,7,5,14,7,7,
2005 to 2010,060,35-39,11,6,5,10,7,3,
2005 to 2010,060,40-44,9,5,4,11,7,4,
2005 to 2010,060,45-49,9,5,4,15,9,6,
2005 to 2010,060,50-54,9,5,4,14,8,6,
2005 to 2010,060,55-59,5,3,2,8,4,4,
2005 to 2010,060,60-64,3,2,1,8,6,2,
2005 to 2010,060,65-69,3,2,1,2,1,1,
2005 to 2010,060,70-74,1,1,0,1,1,0,
2005 to 2010,060,75-79,1,1,0,1,1,0,
2005 to 2010,060,80-84,0,0,0,1,1,0,
2005 to 2010,060,85-89,0,0,0,0,0,0,
2005 to 2010,060,90+,0,0,0,0,0,0,
2005 to 2010,063,Total,600,332,268,723,387,336,
2005 to 2010,063,0-4,50,26,24,49,25,24,
2005 to 2010,063,5-9,41,21,20,47,23,24,
2005 to 2010,063,10-14,39,20,19,43,22,21,
2005 to 2010,063,15-19,39,23,16,64,34,30,
2005 to 2010,063,20-24,71,37,34,97,54,43,
2005 to 2010,063,25-29,65,38,27,57,31,26,
2005 to 2010,063,30-34,56,30,26,53,30,23,
2005 to 2010,063,35-39,42,25,17,50,27,23,
2005 to 2010,063,40-44,48,26,22,54,25,29,
2005 to 2010,063,45-49,51,33,18,56,33,23,
2005 to 2010,063,50-54,34,18,16,47,24,23,
2005 to 2010,063,55-59,27,16,11,44,24,20,
2005 to 2010,063,60-64,16,8,8,29,17,12,
2005 to 2010,063,65-69,9,5,4,15,10,5,
2005 to 2010,063,70-74,3,1,2,7,3,4,
2005 to 2010,063,75-79,3,2,1,5,2,3,
2005 to 2010,063,80-84,2,1,1,2,1,1,
2005 to 2010,063,85-89,2,1,1,2,1,1,
2005 to 2010,063,90+,2,1,1,2,1,1,
2005 to 2010,066,Total,309,169,140,357,188,169,
2005 to 2010,066,0-4,25,16,9,19,11,8,
2005 to 2010,066,5-9,24,11,13,26,12,14,
2005 to 2010,066,10-14,19,9,10,23,13,10,
2005 to 2010,066,15-19,24,12,12,39,16,23,
2005 to 2010,066,20-24,32,15,17,46,23,23,
2005 to 2010,066,25-29,29,16,13,32,18,14,
2005 to 2010,066,30-34,20,10,10,23,11,12,
2005 to 2010,066,35-39,22,12,10,19,11,8,
2005 to 2010,066,40-44,22,13,9,21,12,9,
2005 to 2010,066,45-49,23,12,11,24,12,12,
2005 to 2010,066,50-54,20,12,8,21,13,8,
2005 to 2010,066,55-59,19,11,8,20,11,9,
2005 to 2010,066,60-64,14,10,4,17,9,8,
2005 to 2010,066,65-69,8,4,4,9,6,3,
2005 to 2010,066,70-74,5,4,1,8,4,4,
2005 to 2010,066,75-79,2,1,1,4,3,1,
2005 to 2010,066,80-84,1,1,0,2,1,1,
2005 to 2010,066,85-89,0,0,0,2,1,1,
2005 to 2010,066,90+,0,0,0,2,1,1,
2005 to 2010,068,Total,221,123,98,233,135,98,
2005 to 2010,068,0-4,20,9,11,15,9,6,
2005 to 2010,068,5-9,15,6,9,14,5,9,
2005 to 2010,068,10-14,10,5,5,10,5,5,
2005 to 2010,068,15-19,11,7,4,18,12,6,
2005 to 2010,068,20-24,19,12,7,25,14,11,
2005 to 2010,068,25-29,23,11,12,20,12,8,
2005 to 2010,068,30-34,23,13,10,17,11,6,
2005 to 2010,068,35-39,22,14,8,17,10,7,
2005 to 2010,068,40-44,17,10,7,17,11,6,
2005 to 2010,068,45-49,18,11,7,21,11,10,
2005 to 2010,068,50-54,18,10,8,21,12,9,
2005 to 2010,068,55-59,13,8,5,17,10,7,
2005 to 2010,068,60-64,7,4,3,10,6,4,
2005 to 2010,068,65-69,4,2,2,6,3,3,
2005 to 2010,068,70-74,1,1,0,3,2,1,
2005 to 2010,068,75-79,0,0,0,1,1,0,
2005 to 2010,068,80-84,0,0,0,1,1,0,
2005 to 2010,068,85-89,0,0,0,0,0,0,
2005 to 2010,068,90+,0,0,0,0,0,0,
2005 to 2010,070,Total,374,205,169,421,223,198,
2005 to 2010,070,0-4,38,23,15,41,21,20,
2005 to 2010,070,5-9,27,14,13,31,15,16,
2005 to 2010,070,10-14,27,14,13,28,15,13,
2005 to 2010,070,15-19,34,16,18,44,21,23,
2005 to 2010,070,20-24,44,21,23,53,26,27,
2005 to 2010,070,25-29,41,21,20,44,24,20,
2005 to 2010,070,30-34,30,17,13,30,16,14,
2005 to 2010,070,35-39,19,11,8,25,13,12,
2005 to 2010,070,40-44,25,15,10,27,15,12,
2005 to 2010,070,45-49,25,15,10,29,17,12,
2005 to 2010,070,50-54,28,16,12,25,15,10,
2005 to 2010,070,55-59,17,10,7,20,12,8,
2005 to 2010,070,60-64,8,6,2,11,6,5,
2005 to 2010,070,65-69,4,3,1,7,4,3,
2005 to 2010,070,70-74,2,1,1,4,2,2,
2005 to 2010,070,75-79,2,1,1,0,0,0,
2005 to 2010,070,80-84,1,0,1,2,1,1,
2005 to 2010,070,85-89,2,1,1,0,0,0,
2005 to 2010,070,90+,0,0,0,0,0,0,
2005 to 2010,090,Total,8680,4691,3989,8426,4501,3925,
2005 to 2010,090,0-4,1005,520,485,968,483,485,
2005 to 2010,090,5-9,729,375,354,714,362,352,
2005 to 2010,090,10-14,547,287,260,560,283,277,
2005 to 2010,090,15-19,523,261,262,558,281,277,
2005 to 2010,090,20-24,1271,679,592,1069,569,500,
2005 to 2010,090,25-29,1265,707,558,1127,632,495,
2005 to 2010,090,30-34,895,494,401,829,458,371,
2005 to 2010,090,35-39,669,377,292,641,360,281,
2005 to 2010,090,40-44,492,278,214,508,282,226,
2005 to 2010,090,45-49,413,240,173,415,235,180,
2005 to 2010,090,50-54,315,177,138,342,187,155,
2005 to 2010,090,55-59,220,125,95,276,148,128,
2005 to 2010,090,60-64,136,72,64,183,100,83,
2005 to 2010,090,65-69,74,41,33,106,57,49,
2005 to 2010,090,70-74,44,25,19,55,31,24,
2005 to 2010,090,75-79,31,14,17,33,16,17,
2005 to 2010,090,80-84,24,10,14,22,10,12,
2005 to 2010,090,85-89,16,6,10,11,4,7,
2005 to 2010,090,90+,11,3,8,9,3,6,
2005 to 2010,100,Total,236,124,112,196,106,90,
2005 to 2010,100,0-4,15,5,10,11,6,5,
2005 to 2010,100,5-9,14,7,7,10,4,6,
2005 to 2010,100,10-14,13,6,7,10,5,5,
2005 to 2010,100,15-19,11,6,5,14,8,6,
2005 to 2010,100,20-24,16,8,8,20,10,10,
2005 to 2010,100,25-29,19,9,10,14,7,7,
2005 to 2010,100,30-34,21,10,11,12,8,4,
2005 to 2010,100,35-39,23,13,10,14,8,6,
2005 to 2010,100,40-44,16,10,6,16,9,7,
2005 to 2010,100,45-49,23,14,9,13,8,5,
2005 to 2010,100,50-54,20,10,10,17,9,8,
2005 to 2010,100,55-59,17,10,7,16,9,7,
2005 to 2010,100,60-64,13,7,6,11,6,5,
2005 to 2010,100,65-69,8,5,3,6,4,2,
2005 to 2010,100,70-74,4,2,2,3,1,2,
2005 to 2010,100,75-79,2,1,1,4,2,2,
2005 to 2010,100,80-84,1,1,0,2,1,1,
2005 to 2010,100,85-89,0,0,0,2,1,1,
2005 to 2010,100,90+,0,0,0,1,0,1,
2005 to 2010,105,Total,204,114,90,227,121,106,
2005 to 2010,105,0-4,18,7,11,18,9,9,
2005 to 2010,105,5-9,14,7,7,15,7,8,
2005 to 2010,105,10-14,9,4,5,10,6,4,
2005 to 2010,105,15-19,10,5,5,17,8,9,
2005 to 2010,105,20-24,25,14,11,31,14,17,
2005 to 2010,105,25-29,18,10,8,20,11,9,
2005 to 2010,105,30-34,17,10,7,15,8,7,
2005 to 2010,105,35-39,10,6,4,13,8,5,
2005 to 2010,105,40-44,16,10,6,14,9,5,
2005 to 2010,105,45-49,14,9,5,17,9,8,
2005 to 2010,105,50-54,17,11,6,16,8,8,
2005 to 2010,105,55-59,17,9,8,17,10,7,
2005 to 2010,105,60-64,10,7,3,10,7,3,
2005 to 2010,105,65-69,4,2,2,5,3,2,
2005 to 2010,105,70-74,3,2,1,2,1,1,
2005 to 2010,105,75-79,1,1,0,2,1,1,
2005 to 2010,105,80-84,0,0,0,2,1,1,
2005 to 2010,105,85-89,1,0,1,2,0,2,
2005 to 2010,105,90+,0,0,0,1,1,0,
2005 to 2010,110,Total,2565,1367,1198,2777,1449,1328,
2005 to 2010,110,0-4,236,125,111,219,105,114,
2005 to 2010,110,5-9,166,82,84,162,81,81,
2005 to 2010,110,10-14,132,71,61,136,67,69,
2005 to 2010,110,15-19,158,79,79,204,102,102,
2005 to 2010,110,20-24,326,161,165,385,203,182,
2005 to 2010,110,25-29,349,185,164,322,171,151,
2005 to 2010,110,30-34,240,137,103,224,121,103,
2005 to 2010,110,35-39,193,107,86,194,107,87,
2005 to 2010,110,40-44,179,102,77,180,99,81,
