Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
2015 to 2020,070,20-24,38,20,18,53,28,25,
2015 to 2020,070,25-29,47,26,21,53,31,22,
2015 to 2020,070,30-34,32,20,12,41,24,17,
2015 to 2020,070,35-39,26,16,10,29,16,13,
2015 to 2020,070,40-44,18,9,9,26,14,12,
2015 to 2020,070,45-49,18,10,8,20,11,9,
2015 to 2020,070,50-54,16,10,6,20,11,9,
2015 to 2020,070,55-59,15,9,6,22,13,9,
2015 to 2020,070,60-64,11,6,5,20,11,9,
2015 to 2020,070,65-69,7,4,3,13,7,6,
2015 to 2020,070,70-74,3,2,1,6,4,2,
2015 to 2020,070,75-79,4,2,2,4,2,2,
2015 to 2020,070,80-84,2,1,1,2,1,1,
2015 to 2020,070,85-89,0,0,0,4,2,2,
2015 to 2020,070,90+,0,0,0,2,1,1,
2015 to 2020,090,Total,6962,3718,3244,8361,4462,3899,
2015 to 2020,090,0-4,686,355,331,755,384,371,
2015 to 2020,090,5-9,564,289,275,635,337,298,
2015 to 2020,090,10-14,441,232,209,542,290,252,
2015 to 2020,090,15-19,400,200,200,520,273,247,
2015 to 2020,090,20-24,824,438,386,927,483,444,
2015 to 2020,090,25-29,975,514,461,1042,565,477,
2015 to 2020,090,30-34,801,431,370,876,474,402,
2015 to 2020,090,35-39,606,337,269,691,374,317,
2015 to 2020,090,40-44,397,228,169,487,277,210,
2015 to 2020,090,45-49,300,172,128,388,216,172,
2015 to 2020,090,50-54,252,140,112,350,189,161,
2015 to 2020,090,55-59,233,128,105,327,172,155,
2015 to 2020,090,60-64,179,95,84,321,166,155,
2015 to 2020,090,65-69,122,67,55,217,116,101,
2015 to 2020,090,70-74,79,43,36,130,70,60,
2015 to 2020,090,75-79,49,26,23,69,35,34,
2015 to 2020,090,80-84,24,11,13,38,21,17,
2015 to 2020,090,85-89,15,6,9,24,11,13,
2015 to 2020,090,90+,15,6,9,22,9,13,
2015 to 2020,100,Total,205,107,98,211,114,97,
2015 to 2020,100,0-4,18,9,9,14,7,7,
2015 to 2020,100,5-9,12,6,6,10,6,4,
2015 to 2020,100,10-14,10,6,4,9,4,5,
2015 to 2020,100,15-19,9,4,5,13,7,6,
2015 to 2020,100,20-24,14,6,8,18,9,9,
2015 to 2020,100,25-29,19,9,10,16,8,8,
2015 to 2020,100,30-34,22,11,11,18,9,9,
2015 to 2020,100,35-39,16,8,8,15,8,7,
2015 to 2020,100,40-44,13,7,6,11,8,3,
2015 to 2020,100,45-49,12,7,5,12,7,5,
2015 to 2020,100,50-54,13,7,6,13,8,5,
2015 to 2020,100,55-59,12,7,5,13,6,7,
2015 to 2020,100,60-64,14,8,6,14,7,7,
2015 to 2020,100,65-69,10,6,4,13,7,6,
2015 to 2020,100,70-74,5,4,1,9,5,4,
2015 to 2020,100,75-79,2,1,1,6,4,2,
2015 to 2020,100,80-84,1,0,1,3,2,1,
2015 to 2020,100,85-89,2,1,1,2,1,1,
2015 to 2020,100,90+,1,0,1,2,1,1,
2015 to 2020,105,Total,174,92,82,203,112,91,
2015 to 2020,105,0-4,12,6,6,12,5,7,
2015 to 2020,105,5-9,11,6,5,11,7,4,
2015 to 2020,105,10-14,10,4,6,11,5,6,
2015 to 2020,105,15-19,10,5,5,14,7,7,
2015 to 2020,105,20-24,13,7,6,18,10,8,
2015 to 2020,105,25-29,14,8,6,17,10,7,
2015 to 2020,105,30-34,16,9,7,16,9,7,
2015 to 2020,105,35-39,13,7,6,11,7,4,
2015 to 2020,105,40-44,9,4,5,12,7,5,
2015 to 2020,105,45-49,11,7,4,10,5,5,
2015 to 2020,105,50-54,9,6,3,15,9,6,
2015 to 2020,105,55-59,12,6,6,15,9,6,
2015 to 2020,105,60-64,12,6,6,14,8,6,
2015 to 2020,105,65-69,10,4,6,10,5,5,
2015 to 2020,105,70-74,6,4,2,8,5,3,
2015 to 2020,105,75-79,4,2,2,5,2,3,
2015 to 2020,105,80-84,2,1,1,3,1,2,
2015 to 2020,105,85-89,0,0,0,1,1,0,
2015 to 2020,105,90+,0,0,0,0,0,0,
2015 to 2020,110,Total,2261,1202,1059,2684,1424,1260,
2015 to 2020,110,0-4,160,83,77,166,91,75,
2015 to 2020,110,5-9,134,67,67,144,69,75,
2015 to 2020,110,10-14,114,55,59,121,58,63,
2015 to 2020,110,15-19,122,63,59,172,94,78,
2015 to 2020,110,20-24,221,112,109,287,142,145,
2015 to 2020,110,25-29,305,159,146,304,162,142,
2015 to 2020,110,30-34,268,143,125,273,142,131,
2015 to 2020,110,35-39,210,116,94,224,129,95,
2015 to 2020,110,40-44,152,91,61,157,90,67,
2015 to 2020,110,45-49,123,74,49,150,86,64,
2015 to 2020,110,50-54,123,68,55,150,85,65,
2015 to 2020,110,55-59,116,63,53,150,79,71,
2015 to 2020,110,60-64,80,43,37,143,79,64,
2015 to 2020,110,65-69,53,29,24,108,55,53,
2015 to 2020,110,70-74,36,18,18,61,32,29,
2015 to 2020,110,75-79,17,8,9,28,12,16,
2015 to 2020,110,80-84,13,5,8,18,7,11,
2015 to 2020,110,85-89,8,3,5,14,6,8,
2015 to 2020,110,90+,6,2,4,14,6,8,
2015 to 2020,122,Total,4365,2340,2025,4356,2348,2008,
2015 to 2020,122,0-4,338,173,165,305,155,150,
2015 to 2020,122,5-9,272,140,132,241,125,116,
2015 to 2020,122,10-14,246,127,119,226,119,107,
2015 to 2020,122,15-19,227,121,106,296,149,147,
2015 to 2020,122,20-24,378,201,177,530,281,249,
2015 to 2020,122,25-29,488,255,233,450,248,202,
2015 to 2020,122,30-34,434,239,195,375,216,159,
2015 to 2020,122,35-39,358,199,159,311,177,134,
2015 to 2020,122,40-44,276,159,117,262,147,115,
2015 to 2020,122,45-49,242,133,109,233,130,103,
2015 to 2020,122,50-54,243,137,106,223,128,95,
2015 to 2020,122,55-59,248,128,120,248,130,118,
2015 to 2020,122,60-64,234,125,109,226,117,109,
2015 to 2020,122,65-69,175,99,76,186,99,87,
2015 to 2020,122,70-74,97,53,44,110,60,50,
2015 to 2020,122,75-79,51,28,23,60,34,26,
2015 to 2020,122,80-84,26,12,14,33,15,18,
2015 to 2020,122,85-89,19,7,12,21,9,12,
2015 to 2020,122,90+,13,4,9,20,9,11,
2015 to 2020,130,Total,1037,561,476,1117,595,522,
2015 to 2020,130,0-4,74,43,31,71,31,40,
2015 to 2020,130,5-9,72,37,35,64,34,30,
2015 to 2020,130,10-14,63,32,31,57,29,28,
2015 to 2020,130,15-19,55,26,29,80,38,42,
2015 to 2020,130,20-24,87,47,40,122,66,56,
2015 to 2020,130,25-29,111,61,50,111,61,50,
2015 to 2020,130,30-34,115,60,55,99,57,42,
2015 to 2020,130,35-39,98,57,41,80,47,33,
2015 to 2020,130,40-44,71,41,30,66,37,29,
2015 to 2020,130,45-49,60,31,29,60,31,29,
2015 to 2020,130,50-54,55,31,24,66,37,29,
2015 to 2020,130,55-59,55,31,24,68,36,32,
2015 to 2020,130,60-64,45,25,20,63,34,29,
2015 to 2020,130,65-69,30,16,14,47,25,22,
2015 to 2020,130,70-74,17,10,7,27,15,12,
2015 to 2020,130,75-79,13,6,7,15,9,6,
2015 to 2020,130,80-84,9,5,4,13,6,7,
2015 to 2020,130,85-89,4,1,3,4,1,3,
2015 to 2020,130,90+,3,1,2,4,1,3,
2015 to 2020,150,Total,1039,563,476,1384,748,636,
2015 to 2020,150,0-4,104,55,49,112,58,54,
2015 to 2020,150,5-9,95,51,44,108,55,53,
2015 to 2020,150,10-14,72,39,33,89,49,40,
2015 to 2020,150,15-19,57,30,27,101,51,50,
2015 to 2020,150,20-24,86,43,43,143,74,69,
2015 to 2020,150,25-29,116,61,55,132,73,59,
