"Borough/Census Area FIPS","Year","Age","Total","Male","Female","Data from: https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/estimates/data/AgeBySexBCA_2000to2010.xls via https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/index.cfm March 2023 "
"180",2000,"65-69",173,98,75,
"180",2000,"70-74",149,69,80,
"180",2000,"75-79",98,50,48,
"180",2000,"80-84",57,26,31,
"180",2000,"85+",63,19,44,
"185",2000,"0-4",705,397,308,
"185",2000,"5-9",782,383,399,
"185",2000,"10-14",863,457,406,
"185",2000,"15-19",721,379,342,
"185",2000,"20-24",448,221,227,
"185",2000,"25-29",459,247,212,
"185",2000,"30-34",530,284,246,
"185",2000,"35-39",597,318,279,
"185",2000,"40-44",636,340,296,
"185",2000,"45-49",507,288,219,
"185",2000,"50-54",390,220,170,
"185",2000,"55-59",266,145,121,
"185",2000,"60-64",173,95,78,
"185",2000,"65-69",119,63,56,
"185",2000,"70-74",82,39,43,
"185",2000,"75-79",58,18,40,
"185",2000,"80-84",32,11,21,
"185",2000,"85+",17,5,12,
"188",2000,"0-4",773,403,370,
"188",2000,"5-9",827,433,394,
"188",2000,"10-14",910,461,449,
"188",2000,"15-19",711,360,351,
"188",2000,"20-24",487,255,232,
"188",2000,"25-29",490,259,231,
"188",2000,"30-34",521,299,222,
"188",2000,"35-39",530,286,244,
"188",2000,"40-44",484,281,203,
"188",2000,"45-49",424,247,177,
"188",2000,"50-54",331,190,141,
"188",2000,"55-59",215,118,97,
"188",2000,"60-64",146,87,59,
"188",2000,"65-69",139,64,75,
"188",2000,"70-74",108,52,56,
"188",2000,"75-79",57,24,33,
"188",2000,"80-84",28,18,10,
"188",2000,"85+",27,10,17,
"195",2000,"0-4",298,159,139,
"195",2000,"5-9",332,164,168,
"195",2000,"10-14",425,217,208,
"195",2000,"15-19",309,169,140,
"195",2000,"20-24",183,96,87,
"195",2000,"25-29",223,118,105,
"195",2000,"30-34",318,171,147,
"195",2000,"35-39",318,162,156,
"195",2000,"40-44",427,208,219,
"195",2000,"45-49",395,219,176,
"195",2000,"50-54",330,178,152,
"195",2000,"55-59",218,124,94,
"195",2000,"60-64",130,72,58,
"195",2000,"65-69",83,44,39,
"195",2000,"70-74",98,48,50,
"195",2000,"75-79",91,43,48,
"195",2000,"80-84",44,20,24,
"195",2000,"85+",38,17,21,
"198",2000,"0-4",451,237,214,
"198",2000,"5-9",505,269,236,
"198",2000,"10-14",567,285,282,
"198",2000,"15-19",524,284,240,
"198",2000,"20-24",311,177,134,
"198",2000,"25-29",338,172,166,
"198",2000,"30-34",388,199,189,
"198",2000,"35-39",526,272,254,
"198",2000,"40-44",592,328,264,
"198",2000,"45-49",583,336,247,
"198",2000,"50-54",436,255,181,
"198",2000,"55-59",339,199,140,
"198",2000,"60-64",216,131,85,
"198",2000,"65-69",143,92,51,
"198",2000,"70-74",99,57,42,
"198",2000,"75-79",68,35,33,
"198",2000,"80-84",21,7,14,
"198",2000,"85+",18,9,9,
"220",2000,"0-4",565,318,247,
"220",2000,"5-9",669,326,343,
"220",2000,"10-14",730,348,382,
"220",2000,"15-19",689,377,312,
"220",2000,"20-24",573,308,265,
"220",2000,"25-29",533,262,271,
"220",2000,"30-34",626,318,308,
"220",2000,"35-39",729,376,353,
"220",2000,"40-44",844,419,425,
"220",2000,"45-49",774,395,379,
"220",2000,"50-54",592,310,282,
"220",2000,"55-59",415,228,187,
"220",2000,"60-64",352,182,170,
"220",2000,"65-69",261,127,134,
"220",2000,"70-74",194,103,91,
"220",2000,"75-79",144,64,80,
"220",2000,"80-84",67,24,43,
"220",2000,"85+",78,20,58,
"230",2000,"0-4",40,18,22,
"230",2000,"5-9",65,29,36,
"230",2000,"10-14",44,24,20,
"230",2000,"15-19",34,18,16,
"230",2000,"20-24",39,22,17,
"230",2000,"25-29",72,34,38,
"230",2000,"30-34",76,42,34,
"230",2000,"35-39",74,41,33,
"230",2000,"40-44",76,42,34,
"230",2000,"45-49",98,61,37,
"230",2000,"50-54",79,40,39,
"230",2000,"55-59",59,24,35,
"230",2000,"60-64",33,20,13,
"230",2000,"65-69",23,13,10,
"230",2000,"70-74",22,10,12,
"230",2000,"75-79",15,6,9,
"230",2000,"80-84",7,5,2,
"230",2000,"85+",6,1,5,
"240",2000,"0-4",438,225,213,
"240",2000,"5-9",539,274,265,
"240",2000,"10-14",656,313,343,
"240",2000,"15-19",565,314,251,
"240",2000,"20-24",297,164,133,
"240",2000,"25-29",328,160,168,
"240",2000,"30-34",358,173,185,
"240",2000,"35-39",478,236,242,
