"FIPS","AreaName","AgeNumber","Age","Total_In2015to2020","Male_In2015to2020","Female_In2015to2020","Total_Out2015to2020","Male_Out2015to2020","Female_Out2015to2020","Total_Net2015to2020","Male_Net2015to2020","Female_Net2015to2020","Total_In2010to2015","Male_In2010to2015","Female_In2010to2015","Total_Out2010to2015","Male_Out2010to2015","Female_Out2010to2015","Total_Net2010to2015","Male_Net2010to2015","Female_Net2010to2015","Total_In2005to2010","Male_In2005to2010","Female_In2005to2010","Total_Out2005to2010","Male_Out2005to2010","Female_Out2005to2010","Total_Net2005to2010","Male_Net2005to2010","Female_Net2005to2010","Total_In2000to2005","Male_In2000to2005","Female_In2000to2005","Total_Out2000to2005","Male_Out2000to2005","Female_Out2000to2005","Total_Net2000to2005","Male_Net2000to2005","Female_Net2000to2005","Total_In1995to2000","Male_In1995to2000","Female_In1995to2000","Total_Out1995to2000","Male_Out1995to2000","Female_Out1995to2000","Total_Net1995to2000","Male_Net1995to2000","Female_Net1995to2000","Total_In1990to1995","Male_In1990to1995","Female_In1990to1995","Total_Out1990to1995","Male_Out1990to1995","Female_Out1990to1995","Total_Net1990to1995","Male_Net1990to1995","Female_Net1990to1995","Total_In1985to1990","Male_In1985to1990","Female_In1985to1990","Total_Out1985to1990","Male_Out1985to1990","Female_Out1985to1990","Total_Net1985to1990","Male_Net1985to1990","Female_Net1985to1990"
"013","Aleutians East Borough",2,"5-9",6,2,4,6,3,3,0,-1,1,7,4,3,9,6,3,-2,-2,0,8,4,4,3,1,2,5,3,2,7,3,4,9,4,5,-2,-1,-1,10,5,5,8,3,5,2,2,0,17,8,9,22,10,12,-5,-2,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",3,"10-14",6,3,3,6,4,2,0,-1,1,6,4,2,10,6,4,-4,-2,-2,7,4,3,4,2,2,3,2,1,12,6,6,9,5,4,3,1,2,8,4,4,9,4,5,-1,0,-1,12,8,4,19,12,7,-7,-4,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",4,"15-19",7,4,3,8,4,4,-1,0,-1,7,3,4,12,4,8,-5,-1,-4,8,4,4,6,3,3,2,1,1,7,4,3,11,5,6,-4,-1,-3,11,7,4,8,5,3,3,2,1,12,6,6,19,9,10,-7,-3,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",5,"20-24",12,6,6,15,8,7,-3,-2,-1,11,7,4,13,9,4,-2,-2,0,11,5,6,6,4,2,5,1,4,13,8,5,12,8,4,1,0,1,18,10,8,9,6,3,9,4,5,20,14,6,28,19,9,-8,-5,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",6,"25-29",14,8,6,17,10,7,-3,-2,-1,13,8,5,17,9,8,-4,-1,-3,16,9,7,6,4,2,10,5,5,11,6,5,10,5,5,1,1,0,17,9,8,10,6,4,7,3,4,32,19,13,31,19,12,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",7,"30-34",13,8,5,16,10,6,-3,-2,-1,16,10,6,17,11,6,-1,-1,0,12,8,4,5,2,3,7,6,1,14,10,4,14,9,5,0,1,-1,23,15,8,9,6,3,14,9,5,27,18,9,35,23,12,-8,-5,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",8,"35-39",15,9,6,17,11,6,-2,-2,0,12,8,4,12,8,4,0,0,0,12,8,4,4,3,1,8,5,3,19,12,7,15,9,6,4,3,1,21,13,8,12,7,5,9,6,3,23,15,8,32,19,13,-9,-4,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",9,"40-44",12,7,5,13,8,5,-1,-1,0,13,8,5,14,9,5,-1,-1,0,15,10,5,7,4,3,8,6,2,20,11,9,22,14,8,-2,-3,1,14,9,5,8,5,3,6,4,2,21,13,8,29,19,10,-8,-6,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",10,"45-49",14,10,4,14,10,4,0,0,0,14,8,6,18,12,6,-4,-4,0,18,11,7,7,4,3,11,7,4,14,8,6,13,7,6,1,1,0,17,9,8,8,5,3,9,4,5,18,9,9,16,10,6,2,-1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",11,"50-54",15,9,6,20,13,7,-5,-4,-1,17,11,6,15,10,5,2,1,1,11,7,4,5,3,2,6,4,2,10,6,4,14,7,7,-4,-1,-3,12,8,4,5,3,2,7,5,2,8,4,4,12,6,6,-4,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",12,"55-59",11,8,3,13,9,4,-2,-1,-1,12,8,4,14,9,5,-2,-1,-1,11,6,5,5,3,2,6,3,3,8,4,4,7,4,3,1,0,1,7,4,3,4,2,2,3,2,1,7,4,3,6,3,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",13,"60-64",8,5,3,12,8,4,-4,-3,-1,7,4,3,7,4,3,0,0,0,7,4,3,3,2,1,4,2,2,3,2,1,6,3,3,-3,-1,-2,2,1,1,3,2,1,-1,-1,0,4,3,1,7,4,3,-3,-1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",14,"65-69",4,3,1,8,5,3,-4,-2,-2,4,2,2,7,4,3,-3,-2,-1,2,1,1,1,1,0,1,0,1,0,0,0,3,2,1,-3,-2,-1,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1,-2,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",15,"70-74",1,1,0,4,3,1,-3,-2,-1,2,1,1,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,1,1,0,-1,-1,0,0,0,0,2,1,1,-2,-1,-1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",16,"75-79",1,1,0,2,1,1,-1,0,-1,1,0,1,2,1,1,-1,-1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
